Id,SalePrice
1461,115410.36273836132
1462,155283.95770310453
1463,170460.33201127496
1464,182761.6746737384
1465,199553.2103043436
1466,170118.33531459482
1467,169441.23830420538
1468,163639.83480821608
1469,185764.95072947454
1470,123506.1543126947
1471,209393.08581342179
1472,93741.13220406677
1473,92853.59909594768
1474,165751.68226112964
1475,140072.4913524023
1476,436612.498674737
1477,280947.4963141566
1478,303410.43000441673
1479,273139.28054397885
1480,462964.3377624923
1481,337378.3248088518
1482,213829.12773415877
1483,170637.95781274355
1484,172601.27633903502
1485,177375.25142690112
1486,198633.00185936084
1487,344328.54587165854
1488,244985.20085674225
1489,197879.13086111593
1490,218882.77360269002
1491,191104.265254488
1492,89149.10013984116
1493,176946.72809430424
1494,311276.61481877544
1495,293182.2928139736
1496,237463.68943814814
1497,182946.28499523117
1498,164488.11894623007
1499,158864.44297143436
1500,136405.88327014796
1501,167447.70165221085
1502,150422.5734034245
1503,315987.1839685096
1504,232159.4235415704
1505,222051.46362460416
1506,182730.66298112576
1507,227296.74976039276
1508,190099.1836553306
1509,154840.22620174423
1510,143181.94449825535
1511,143806.21688456033
1512,178569.46880854867
1513,142456.38203067752
1514,167046.69887912367
1515,185333.03688404546
1516,167258.8004095494
1517,159231.8976229691
1518,141763.15359292406
1519,238048.9021428836
1520,134147.45599018683
1521,131701.16644734226
1522,169289.48993956746
1523,110785.89610936517
1524,123355.81845501062
1525,120544.90057816147
1526,119670.19344391904
1527,107868.43888474732
1528,134187.20760679434
1529,144202.43187630706
1530,169114.29553196707
1531,95211.48755214289
1532,108941.04463404907
1533,163700.346253957
1534,117319.01244670803
1535,160195.12951346033
1536,112383.26192481916
1537,70140.89477967996
1538,177158.04435401526
1539,219190.17646316558
1540,92377.28355728605
1541,146820.10238824616
1542,139244.3118265806
1543,221855.27582690626
1544,89697.01417162821
1545,101299.45786979252
1546,132576.8772289531
1547,133665.35353064907
1548,127177.09579897819
1549,106921.61882423193
1550,140310.20775208052
1551,123795.35888524339
1552,131542.7303556744
1553,152680.41634547187
1554,108127.47094895526
1555,165716.58287549583
1556,72721.01404314218
1557,119242.34878523968
1558,97259.55264860964
1559,76926.87988887892
1560,146746.43821210024
1561,135918.3650139767
1562,135532.62329839106
1563,123490.56699202806
1564,160955.95167865366
1565,144764.17010103184
1566,223387.0359403688
1567,75206.5798785462
1568,222327.22817492124
1569,131861.46141146397
1570,133571.68082434084
1571,130168.58777454065
1572,142050.17697225118
1573,257982.59225330863
1574,119908.09623799378
1575,232605.9842462864
1576,208136.21616298344
1577,188976.52602269402
1578,144732.8802615886
1579,145250.33646115425
1580,186805.20429165225
1581,144924.17754679386
1582,129985.6769161614
1583,345748.365139841
1584,219521.0103288807
1585,139703.032679772
1586,81889.3307488103
1587,96493.235420403
1588,140440.8599176749
1589,101227.63166287175
1590,142389.5132597637
1591,100702.10093156017
1592,129533.2672610043
1593,136097.79300898084
1594,107186.85313663275
1595,111969.95722643212
1596,223449.49299120106
1597,180456.66220936307
1598,205682.8964978174
1599,184528.6942381046
1600,183168.28964569673
1601,76645.2460481536
1602,110682.21691489794
1603,89762.06321610532
1604,268775.82325547695
1605,250222.89951605166
1606,170453.4957493903
1607,183544.70980400068
1608,207088.9474551962
1609,193606.12122154597
1610,140021.38782005865
1611,147920.5975633756
1612,168892.16090626482
1613,157163.93666275448
1614,121982.88596469564
1615,86041.37025200538
1616,74088.94452111564
1617,88300.04998023369
1618,128740.27368297192
1619,143801.9753803498
1620,144163.86162550337
1621,129879.64932138762
1622,144585.89026762883
1623,293678.94546221144
1624,200091.04806131334
1625,129299.35319027212
1626,174062.22007768173
1627,180440.50908140533
1628,279516.19452812447
1629,179763.1974144365
1630,385132.2309888818
1631,229004.20959047513
1632,260290.87394988653
1633,167090.756357692
1634,177340.83940184274
1635,180091.65486836658
